fdr_family_id,state,method,variable,frozen_weight_variable,fdr_n_tests,n_islands_excluded,fdr_alpha,fdr_critical_p,raw_significant_count,fdr_significant_count,formal_p_value_field,status,analysis_scope,frozen_weight_method
NM__WUIS__p_a,NM,WUI-S,p_a,area_proportion,33,0,0.050000000000,0.001515151515,4,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
NM__WUIS__p_s,NM,WUI-S,p_s,structure_proportion,33,0,0.050000000000,0.001515151515,3,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
NM__WUIZ__p_a,NM,WUI-Z,p_a,area_proportion,33,0,0.050000000000,0.001515151515,8,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
NY__WUIP__p_a,NY,WUI-P,p_a,area_proportion,62,0,0.050000000000,0.009677419355,18,12,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
NY__WUIP__p_s,NY,WUI-P,p_s,structure_proportion,62,0,0.050000000000,0.004032258065,18,5,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
NY__WUIS__p_a,NY,WUI-S,p_a,area_proportion,62,0,0.050000000000,0.008064516129,16,10,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
NY__WUIS__p_s,NY,WUI-S,p_s,structure_proportion,62,0,0.050000000000,0.004838709677,18,6,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
NY__WUIZ__p_a,NY,WUI-Z,p_a,area_proportion,62,0,0.050000000000,0.008870967742,16,11,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
OH__WUIP__p_a,OH,WUI-P,p_a,area_proportion,88,0,0.050000000000,0.013068181818,44,23,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
OH__WUIP__p_s,OH,WUI-P,p_s,structure_proportion,88,0,0.050000000000,0.018181818182,43,32,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
OH__WUIS__p_a,OH,WUI-S,p_a,area_proportion,88,0,0.050000000000,0.018181818182,43,32,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
OH__WUIS__p_s,OH,WUI-S,p_s,structure_proportion,88,0,0.050000000000,0.021022727273,43,37,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
OH__WUIZ__p_a,OH,WUI-Z,p_a,area_proportion,88,0,0.050000000000,0.010227272727,37,18,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
OK__WUIP__p_a,OK,WUI-P,p_a,area_proportion,77,0,0.050000000000,0.000649350649,9,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
OK__WUIS__p_a,OK,WUI-S,p_a,area_proportion,77,0,0.050000000000,0.007142857143,24,11,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
OK__WUIS__p_s,OK,WUI-S,p_s,structure_proportion,77,0,0.050000000000,0.003896103896,20,6,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
OK__WUIZ__p_a,OK,WUI-Z,p_a,area_proportion,77,0,0.050000000000,0.008441558442,18,13,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
OR__WUIP__p_a,OR,WUI-P,p_a,area_proportion,36,0,0.050000000000,0.012500000000,14,9,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
OR__WUIP__p_s,OR,WUI-P,p_s,structure_proportion,36,0,0.050000000000,0.001388888889,3,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
OR__WUIS__p_a,OR,WUI-S,p_a,area_proportion,36,0,0.050000000000,0.005555555556,13,4,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
OR__WUIS__p_s,OR,WUI-S,p_s,structure_proportion,36,0,0.050000000000,0.001388888889,3,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
OR__WUIZ__p_a,OR,WUI-Z,p_a,area_proportion,36,0,0.050000000000,0.015277777778,14,11,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
PA__WUIP__p_a,PA,WUI-P,p_a,area_proportion,67,0,0.050000000000,0.000746268657,11,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
PA__WUIP__p_s,PA,WUI-P,p_s,structure_proportion,67,0,0.050000000000,0.009701492537,21,13,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
PA__WUIS__p_a,PA,WUI-S,p_a,area_proportion,67,0,0.050000000000,0.000746268657,19,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
PA__WUIS__p_s,PA,WUI-S,p_s,structure_proportion,67,0,0.050000000000,0.009701492537,21,13,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
PA__WUIZ__p_a,PA,WUI-Z,p_a,area_proportion,67,0,0.050000000000,0.008208955224,19,11,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
SC__WUIP__p_a,SC,WUI-P,p_a,area_proportion,46,0,0.050000000000,0.001086956522,0,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
SC__WUIP__p_s,SC,WUI-P,p_s,structure_proportion,44,0,0.050000000000,0.001136363636,4,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
SC__WUIS__p_a,SC,WUI-S,p_a,area_proportion,46,0,0.050000000000,0.001086956522,8,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
SC__WUIS__p_s,SC,WUI-S,p_s,structure_proportion,46,0,0.050000000000,0.001086956522,6,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
SC__WUIZ__p_a,SC,WUI-Z,p_a,area_proportion,46,0,0.050000000000,0.003260869565,7,3,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
SD__WUIP__p_a,SD,WUI-P,p_a,area_proportion,66,0,0.050000000000,0.000757575758,7,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
SD__WUIP__p_s,SD,WUI-P,p_s,structure_proportion,66,0,0.050000000000,0.009090909091,29,12,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
SD__WUIS__p_a,SD,WUI-S,p_a,area_proportion,66,0,0.050000000000,0.006060606061,16,8,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
SD__WUIS__p_s,SD,WUI-S,p_s,structure_proportion,66,0,0.050000000000,0.024242424242,39,32,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
SD__WUIZ__p_a,SD,WUI-Z,p_a,area_proportion,66,0,0.050000000000,0.000757575758,12,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
TN__WUIP__p_a,TN,WUI-P,p_a,area_proportion,95,0,0.050000000000,0.005263157895,19,10,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
TN__WUIP__p_s,TN,WUI-P,p_s,structure_proportion,95,0,0.050000000000,0.000526315789,22,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
TN__WUIS__p_a,TN,WUI-S,p_a,area_proportion,95,0,0.050000000000,0.005263157895,21,10,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
TN__WUIS__p_s,TN,WUI-S,p_s,structure_proportion,95,0,0.050000000000,0.000526315789,23,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
TN__WUIZ__p_a,TN,WUI-Z,p_a,area_proportion,95,0,0.050000000000,0.005263157895,26,10,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
TX__WUIP__p_a,TX,WUI-P,p_a,area_proportion,254,0,0.050000000000,0.011417322835,95,58,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
TX__WUIP__p_s,TX,WUI-P,p_s,structure_proportion,254,0,0.050000000000,0.007086614173,89,36,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
TX__WUIS__p_a,TX,WUI-S,p_a,area_proportion,254,0,0.050000000000,0.010433070866,94,53,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
TX__WUIS__p_s,TX,WUI-S,p_s,structure_proportion,254,0,0.050000000000,0.009251968504,94,47,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
TX__WUIZ__p_a,TX,WUI-Z,p_a,area_proportion,254,0,0.050000000000,0.007677165354,87,39,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
VA__WUIP__p_a,VA,WUI-P,p_a,area_proportion,133,0,0.050000000000,0.000375939850,15,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
