analysis_panel,state,radius_m,method_pair,common_valid_pixels,union_pixels,jaccard,union_area_km2
five_state_radius_sensitivity,TX,700,WUI-P/WUI-Z,772955584.000000000000,98584152,0.380196281447,
five_state_radius_sensitivity,TX,700,WUI-S/WUI-Z,772955584.000000000000,92242901,0.393467081006,
five_state_radius_sensitivity,TX,800,WUI-P/WUI-S,772955584.000000000000,99262554,0.734012314452,
five_state_radius_sensitivity,TX,800,WUI-P/WUI-Z,772955584.000000000000,100899465,0.382029964183,
five_state_radius_sensitivity,TX,800,WUI-S/WUI-Z,772955584.000000000000,94697206,0.396743120383,
five_state_radius_sensitivity,TX,900,WUI-P/WUI-S,772955584.000000000000,100519365,0.741009535824,
five_state_radius_sensitivity,TX,900,WUI-P/WUI-Z,772955584.000000000000,102693100,0.380697252298,
five_state_radius_sensitivity,TX,900,WUI-S/WUI-Z,772955584.000000000000,94721042,0.402099820650,
five_state_radius_sensitivity,TX,1000,WUI-P/WUI-S,772955584.000000000000,99282406,0.747441001782,
five_state_radius_sensitivity,TX,1000,WUI-P/WUI-Z,772955584.000000000000,102074598,0.385652736051,
five_state_radius_sensitivity,TX,1000,WUI-S/WUI-Z,772955584.000000000000,93321714,0.410619879956,
national49_standardized_500m,AL,500,WUI-P/WUI-S,150852694.000000000000,50541110,0.423042964430,45486.999000000003
national49_standardized_500m,AL,500,WUI-P/WUI-Z,150852694.000000000000,45496700,0.330934331501,40947.029999999999
national49_standardized_500m,AL,500,WUI-S/WUI-Z,150852694.000000000000,54220886,0.429211521922,48798.797400000003
national49_standardized_500m,AR,500,WUI-P/WUI-S,153092005.000000000000,32403953,0.714859665424,29163.557700000001
national49_standardized_500m,AR,500,WUI-P/WUI-Z,153092005.000000000000,32238900,0.374178988737,29015.009999999998
national49_standardized_500m,AR,500,WUI-S/WUI-Z,153092005.000000000000,34007813,0.357273488889,30607.031700000000
national49_standardized_500m,AZ,500,WUI-P/WUI-S,328022112.000000000000,20712218,0.612457294530,18640.996200000001
national49_standardized_500m,AZ,500,WUI-P/WUI-Z,328022112.000000000000,19631954,0.414684600422,17668.758600000001
national49_standardized_500m,AZ,500,WUI-S/WUI-Z,328022112.000000000000,19659913,0.423325118478,17693.921699999999
national49_standardized_500m,CA,500,WUI-P/WUI-S,471072551.000000000000,58230235,0.644346875811,52407.211499999998
national49_standardized_500m,CA,500,WUI-P/WUI-Z,471072551.000000000000,56209130,0.463151502256,50588.216999999997
